,A030301_sj,A030302_sj,A030303_sj,A030304_sj,A030305_sj,A030306_sj,A030307_sj
2022,141175.0,0.0,0.0,20978.0,0.0,0.0,0.0
2021,141260.0,24678.0,96526.0,20056.0,46.3,25.6,20.8
2020,141212.0,25277.0,96871.0,19064.0,45.9,26.2,19.7
2019,141008.0,23689.0,99552.0,17767.0,41.5,23.8,17.8
2018,140541.0,23751.0,100065.0,16724.0,40.4,23.7,16.8
2017,140011.0,23522.0,100528.0,15961.0,39.3,23.4,15.9
2016,139232.0,23252.0,100943.0,15037.0,37.9,22.9,15.0
2015,138326.0,22824.0,100978.0,14524.0,37.0,22.6,14.3
2014,137646.0,22712.0,101032.0,13902.0,36.2,22.5,13.7
2013,136726.0,22423.0,101041.0,13262.0,35.3,22.2,13.1
2012,135922.0,22427.0,100718.0,12777.0,34.9,22.2,12.7
2011,134916.0,22261.0,100378.0,12277.0,34.4,22.1,12.3
2010,134091.0,22259.0,99938.0,11894.0,34.2,22.3,11.9
2009,133450.0,24659.0,97484.0,11307.0,36.9,25.3,11.6
2008,132802.0,25166.0,96680.0,10956.0,37.4,26.0,11.3
2007,132129.0,25660.0,95833.0,10636.0,37.9,26.8,11.1
2006,131448.0,25961.0,95068.0,10419.0,38.3,27.3,11.0
2005,130756.0,26504.0,94197.0,10055.0,38.8,28.1,10.7
2004,129988.0,27947.0,92184.0,9857.0,41.0,30.3,10.7
2003,129227.0,28559.0,90976.0,9692.0,42.0,31.4,10.7
2002,128453.0,28774.0,90302.0,9377.0,42.2,31.9,10.4
2001,127627.0,28716.075,89849.408,9062.0,42.0,32.0,10.1
2000,126743.0,29012.0,88910.0,8821.0,42.6,32.6,9.9
1999,125786.0,31949.644,85157.122,8679.0,47.7,37.5,10.2
1998,124761.0,32064.0,84338.0,8359.0,47.9,38.0,9.9
1997,123626.0,32093.3096,83447.55,8085.1404,48.1,38.5,9.7
1996,122389.0,32311.0,82245.408,7833.0,48.8,39.3,9.5
1995,121121.0,32218.0,81393.312,7509.502,48.8,39.6,9.2
1994,119850.0,32359.5,79868.04,7622.46,50.1,40.5,9.5
1993,118517.0,32177.3655,79050.839,7288.7955,49.9,40.7,9.2
1992,117171.0,32339.196,77614.0704,7217.7336,51.0,41.7,9.3
1991,115823.0,32094.5533,76790.649,6937.7977,50.8,41.8,9.0
1990,114333.0,31658.8077,76305.8442,6368.3481,49.8,41.5,8.3
1989,112704.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,111026.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,109300.0,31347.24,71984.98,5967.78,51.8,43.5,8.3
1986,107507.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,105851.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,104357.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,103008.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,101654.0,34145.5786,62517.21,4991.2114,62.6,54.6,8.0
1981,100072.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,98705.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,97542.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,96259.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,94974.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,93717.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,92420.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,90859.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,89211.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,87177.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,85229.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,82992.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,80671.2,0.0,0.0,0.0,0.0,0.0,0.0
1968,78534.2,0.0,0.0,0.0,0.0,0.0,0.0
1967,76368.2,0.0,0.0,0.0,0.0,0.0,0.0
1966,74542.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,72538.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,70499.1,0.0,0.0,0.0,0.0,0.0,0.0
1963,69172.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,67295.5,0.0,0.0,0.0,0.0,0.0,0.0
1961,65859.1,0.0,0.0,0.0,0.0,0.0,0.0
1960,66207.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,67206.9,0.0,0.0,0.0,0.0,0.0,0.0
1958,65994.3,0.0,0.0,0.0,0.0,0.0,0.0
1957,64653.3,0.0,0.0,0.0,0.0,0.0,0.0
1956,62828.3,0.0,0.0,0.0,0.0,0.0,0.0
1955,61465.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,60266.4,0.0,0.0,0.0,0.0,0.0,0.0
1953,58796.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,57482.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,56300.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,55196.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,54167.0,0.0,0.0,0.0,0.0,0.0,0.0
