,A020B01_sj,A020B02_sj,A020B03_sj,A020B04_sj,A020B05_sj,A020B06_sj,A020B07_sj,A020B08_sj,A020B09_sj
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,31012.9985074174,18433.6744333401,37995.4946312688,111.407205626366,113.503732150275,109.938023884646,2352.79497694345,1927.1370164634,1254.01223520352
2020,27438.5770761946,16046.3984729961,34043.4465199419,97.5010959014524,101.776965240789,95.3786289736054,2111.88761419453,1697.86224642547,1140.65378919245
2019,27504.136013586,15382.3887164216,34900.2049556163,106.076848929792,107.020133723796,104.631442582761,2166.01423262881,1668.2185820815,1195.92177143593
2018,25244.8300612735,13984.6734352046,32482.9370188281,107.372793134002,112.417035870157,104.666313604387,2041.92927531474,1558.789476368,1142.98507400391
2017,22968.4901026705,12145.2629087266,30322.7150268166,106.648343228586,110.807992402513,103.95967282951,1901.71943535677,1386.6132159617,1092.02763968942
2016,20800.5645328498,10609.0335495016,28154.1156801383,108.17817147179,110.831967459414,105.647196711513,1783.16828727539,1251.36570557545,1050.43389418925
2015,18857.1623123084,9409.22403073658,26118.7197622555,109.518600410319,112.650971968959,106.880495039861,1648.36238495711,1129.06567866685,994.284682306931
2014,17220.3060291313,8364.95716369887,24429.885614548,108.362528583225,110.887637252858,105.929664029573,1505.09811007574,1002.26891870756,930.277018211892
2013,15586.1984343774,7396.58448170387,22619.7064774396,107.925863922059,109.411354662072,105.679398893002,1388.94701863642,903.859928426538,878.202557078042
2012,14073.7107247783,6573.3866806249,20868.5603127371,109.086695129525,108.129995968987,107.052856667522,1286.94547179115,826.111632762614,831.006389397805
2011,12668.1313943978,5879.64081676116,19218.4632470471,109.769356874319,110.849370716233,106.790808144805,1179.74558699674,763.998579080272,776.258023621635
2010,10575.2360526229,4781.59911273372,16569.8371577172,107.539611438409,105.380877834795,105.866963212906,1074.74947525428,689.222297017866,726.895916518446
2009,9248.52355010291,4295.22158741428,14686.6375285542,110.523684374772,110.145123471948,108.599785126933,999.398696795385,654.029754903311,686.612607425614
2008,8504.45258183554,3980.5136020373,13721.8224698234,107.462777267703,104.756224466086,106.170453928224,904.239396694877,593.789115929294,632.241220940805
2007,7453.70782773659,3537.84369443267,12216.9812787437,112.445996719971,108.722365604225,111.215138456909,841.444283951741,566.829435630845,595.496390519557
2006,6318.92481264406,3065.53060353236,10515.7749284749,107.974211193959,107.319094002197,105.947404173008,748.309685090189,521.354950732249,535.445442753541
2005,5687.85523842972,2783.64022296068,9636.95159445674,109.537849816285,106.783498340108,108.302726283483,693.044826922575,485.798874449662,505.38797711285
2004,5071.06108600378,2521.37839725614,8717.91125584022,106.625141189254,103.940957474983,105.240828740709,632.698951170701,454.938152430988,466.643818171293
2003,4555.2551388384,2292.1829175236,7976.55584601813,105.378952708909,104.596503056487,102.974414105435,593.386272800044,437.689014496989,443.405685564303
2002,4269.5227976523,2156.6840297705,7662.15588128227,108.138494152056,106.567984092958,105.921450793464,563.09752331585,418.454730040654,430.597920285615
2001,3967.8171637668,2032.10316256269,7271.94109473562,105.866231896693,104.641159168355,103.449773170781,520.718850147911,392.664582709608,406.525700941575
2000,3711.51623009123,1917.03309858347,6971.56530815051,110.487941158242,106.608684586966,109.58189368846,491.864913692254,375.248693564126,392.969156414157
1999,3340.35756002214,1793.14458676668,6334.70661884688,108.315502982373,102.228708581087,109.147707629428,445.175200602029,351.986984004119,358.60774365824
1998,3121.62001894862,1777.89771550902,5895.53285848805,105.609871505893,101.371228638622,105.569826151722,410.998599779827,344.313245163346,328.552702980959
1997,2974.27585644764,1767.78882300398,5634.91984762375,104.530500461401,104.007010085091,101.727771290501,389.166840106316,339.655787729266,311.21838024889
1996,2763.26567880415,1655.24775863873,5377.94214506606,109.586138569577,113.814350395007,104.002449386437,372.299796125077,326.570091238451,305.932565218747
1995,2329.37204234667,1344.49728336703,4766.99494781887,108.286543031387,105.045934547956,109.512070034973,339.732561968777,286.932263027508,294.159000123169
1994,1799.17441786812,1072.63021188828,3644.34122057227,106.799656102462,105.057699722188,106.903677752937,313.734793316196,273.149326780005,268.608747902609
1993,1331.83292437296,821.968263812054,2660.87660252599,110.535863327492,104.451385446811,114.877686383419,293.760115683522,259.999340840618,251.262401395942
1992,1056.87017463709,701.189782206537,2008.76334643963,109.708852639958,101.845374438299,117.140021891353,265.760004798785,248.918996840895,218.721676337842
1991,916.289102716231,660.531509520666,1619.26216230281,106.477919381742,102.332364901018,110.752535428922,242.241166873702,244.408740420211,186.718145349765
1990,831.145422339187,626.517453278996,1404.25446192583,102.807124959265,103.410600208678,101.382119236727,227.503662994414,238.838162937617,168.590402582336
1989,784.693171159047,587.799354312363,1344.67730560373,104.09490811502,105.722224338505,100.953793717522,221.291727674086,230.961006372318,166.292048195084
1988,683.72714581159,506.325072382772,1200.14399898751,104.647253436412,103.385667176555,105.075474470579,212.586505604644,218.460222358563,164.720950121383
1987,557.878673970798,426.561209252259,953.403281295788,106.002725408637,105.880016447573,104.392195558939,203.145805191934,211.306101053149,156.7644123915
1986,496.210089141947,384.565899825416,847.453209273463,105.690943903056,104.338400950854,106.060910059368,191.642058644071,199.571277133092,150.168709022881
1985,440.272768405314,345.970723127996,749.608285662955,112.69183407594,114.418196674609,107.381158447825,181.323064746071,191.27308384484,141.587234108046
1984,355.850520384789,279.521655778908,621.444167908665,110.732932498747,109.160937224555,110.752570005022,160.901689313071,167.170161219021,131.854820859324
1983,314.756753215306,251.621362192248,546.940999198263,109.136268555213,109.57207480815,106.36118178728,145.306085265007,153.141009475885,119.053508964483
1982,284.258770234603,227.065550116288,504.066330927968,105.543777563251,110.483972172951,95.4444842604681,133.141885084237,139.762808858022,111.933232560905
1981,264.369722741554,201.971336521675,517.49025025139,108.033949455147,109.987259841381,103.067850908734,126.148493220689,126.500528637075,117.275747706321
1980,238.157320133648,178.406834654358,489.974617937321,109.143582695731,108.560424454676,107.338776033754,116.767454912924,115.013801434374,113.784993741809
1979,207.838372803577,158.752616080494,424.921299311893,106.985176800039,105.944502347071,106.005488367063,106.985176800039,105.944502347071,106.005488367063
1978,183.974523225594,138.877058715095,393.170961844666,104.140461810418,104.35386153158,102.878800659598,100.0,100.0,100.0
1977,174.65591893625,131.20419318992,379.581944865192,101.315490929444,99.8164232325551,103.530436903162,0.0,0.0,0.0
1976,170.680735157438,131.55053783021,356.553705477125,102.124745728778,100.86568218657,103.888206331295,0.0,0.0,0.0
1975,166.79488648454,130.164717053292,342.450592885375,102.183430973755,101.661451976509,102.873808439505,0.0,0.0,0.0
1974,162.936635752763,127.982297324482,331.415643180349,99.8896120880309,99.4483827439493,100.65737985324,0.0,0.0,0.0
1973,162.426015375196,128.206532154297,327.542932628798,104.658705537243,105.414265528831,103.383771538246,0.0,0.0,0.0
1972,154.77419579365,121.2104230877,316.400188895635,102.829784361486,99.7097913942476,109.525949757833,0.0,0.0,0.0
1971,150.040720243014,121.176825848755,287.832503861335,101.297211141608,101.279625451446,101.738266329861,0.0,0.0,0.0
1970,147.473772324838,118.73714125013,283.521950877685,104.007952476301,105.004275169581,102.765186246118,0.0,0.0,0.0
1969,141.666404949593,112.929523809524,276.587372563048,102.651093144164,103.165839768229,102.239709058942,0.0,0.0,0.0
1968,139.004015442021,110.417516233257,272.109837143066,96.780515253624,95.9816312692684,98.5608670431533,0.0,0.0,0.0
1967,143.330461864688,114.551507871889,276.236923420573,103.260369906137,104.339852112639,101.925122574567,0.0,0.0,0.0
1966,138.849605656785,110.087639369792,270.581986493664,103.143404400436,103.741112377033,103.104268745463,0.0,0.0,0.0
1965,133.042499493138,103.945592180585,264.050778995961,109.782091964113,110.759733737623,106.037064223064,0.0,0.0,0.0
1964,127.38506919833,97.8318487942646,265.652951699463,108.75221161192,108.799053346337,106.488291002116,0.0,0.0,0.0
1963,123.722218558333,90.7194994786236,283.973396266895,106.247519290002,107.463055356659,109.264180244853,0.0,0.0,0.0
1962,125.974435615903,89.4216273853734,289.173438397767,103.673565115293,107.108273107464,103.306213576295,0.0,0.0,0.0
1961,123.680583950449,83.7739683495474,288.207913110939,93.6557713272323,103.143009824796,81.8923532033544,0.0,0.0,0.0
1960,111.187731422489,68.5746040566824,292.013834302783,94.6571329058666,95.4887875740131,87.2521829788596,0.0,0.0,0.0
1959,103.783004632097,65.86200946335,284.600727524684,91.6516256392578,79.7333981806605,103.669290830508,0.0,0.0,0.0
1958,110.83300802927,82.5990889004065,261.054668601838,101.65539819544,101.767474197989,97.8100558279291,0.0,0.0,0.0
1957,107.718012880351,79.4668980220957,267.691021218773,102.699409051212,102.551352550143,98.3300169216474,0.0,0.0,0.0
1956,104.076657575246,77.5488424777436,266.285060103034,104.957886862065,100.153087672884,112.226048714267,0.0,0.0,0.0
1955,99.0051835604735,77.2265368784281,237.571065682835,106.803857098869,108.995561009045,102.076730429989,0.0,0.0,0.0
1954,92.3888394281971,70.5331740899337,232.410575427683,100.637079599924,102.254311989278,94.4361329221048,0.0,0.0,0.0
1953,91.0232374137842,68.4575817709722,243.511908733071,108.48120894103,104.374373138698,112.493456375585,0.0,0.0,0.0
1952,79.6259513807105,62.4481182553732,204.131931859369,0.0,0.0,0.0,0.0,0.0,0.0
1951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
